"team","experience","salary","points3","points2","free_throws","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency"
"ATL",93,90.89,626,2254,1373,4253,807,2537,1784,601,354,1136,1329,84.6885199844155
"BOS",63,91.92,985,2183,1536,4704,744,2698,2069,617,341,1037,1686,86.9952398045191
"BRK",52,65.45,738,1950,1381,4069,608,2546,1593,547,372,1152,1522,86.5373383312814
"CHI",58,92.08,565,2162,1330,4057,865,2416,1746,605,339,952,1275,82.4008377680813
"CHO",66,100.25,808,2102,1499,4409,634,2636,1805,550,320,827,1198,88.0658462962812
"CLE",128,125.79,1012,2107,1355,4474,727,2639,1760,475,299,1005,1318,103.059425188558
"DAL",62,92.1,754,1803,1042,3599,534,2109,1291,538,266,703,1280,87.467443407496
"DEN",74,78.38,868,2347,1471,4686,867,2646,2009,538,285,1097,1458,99.8884902509723
"DET",55,103.07,631,2638,1140,4409,908,2838,1731,574,310,932,1467,78.3278948106805
"GSW",101,98.69,982,2540,1447,4969,759,2854,2475,779,551,1171,1565,108.020106791351
"HOU",56,84.66,1141,1769,1508,4418,766,2429,1906,564,292,1046,1314,88.547349631235
"IND",84,84.57,641,2331,1333,4305,679,2436,1713,612,391,996,1490,81.351029412088
"LAC",124,114.78,841,2401,1586,4828,740,2790,1848,613,349,1024,1626,87.7339956010302
"LAL",66,86.27,592,2249,1080,3921,909,2462,1430,593,307,1028,1593,84.3914253049556
"MEM",83,108.34,750,2140,1465,4355,866,2534,1669,612,329,973,1748,83.1831809714467
"MIA",63,72.78,799,2349,1217,4365,857,2649,1728,577,464,1019,1647,86.6044541045699
"MIL",64,90.27,718,2424,1388,4530,700,2541,1953,651,422,1064,1601,91.2243510722328
"MIN",48,59.38,601,2623,1585,4809,938,2530,1934,652,370,1095,1644,88.0144636278398
"NOP",55,90.63,513,1952,1120,3585,580,2244,1523,497,380,823,1164,99.2305486774049
"NYK",59,97.01,636,2445,1262,4343,961,2591,1499,526,451,975,1584,86.2185929146207
"OKC",55,86.98,611,2380,1511,4502,936,2628,1610,595,394,1133,1561,87.5398856144825
"ORL",57,102.41,614,2168,1230,4012,699,2435,1744,544,302,978,1432,71.1098395318652
"PHI",34,55.78,690,1917,1212,3819,673,2282,1788,599,369,1184,1516,96.2354303906928
"PHO",68,72.53,564,2551,1605,4720,882,2456,1530,587,385,1171,1886,86.2093026812211
"POR",43,103.03,852,2156,1386,4394,710,2437,1519,524,345,988,1587,84.2728235743629
"SAC",68,88.19,558,1838,998,3394,524,1878,1394,503,234,847,1302,83.1573259476671
"SAS",99,104.69,743,2459,1431,4633,821,2768,1926,650,485,1038,1479,89.7263858403069
"TOR",57,108.46,626,2359,1570,4555,848,2533,1469,621,379,933,1609,96.9827122018484
"UTA",71,80.32,791,2242,1401,4434,771,2774,1651,550,410,1061,1545,85.5414191613602
"WAS",56,98.78,671,2417,1316,4404,748,2393,1861,605,314,1017,1465,86.1442104816227
